Task Name,Tag,Status,Deadline
Study for Math Exam,Academics,Task Ready,2023-12-23
Organize Study Group Session,Miscellaneous,Task Ready,2023-12-23
Read Chapter 5 of History Book,Academics,Task Ready,2023-12-23
Get a Haircut,Miscellaneous,In Progress,2023-12-23
Write Research Paper on Artificial Intelligence,Assignments,In Progress,2023-12-23
Review Literature Review Draft,Academics,In Progress,2023-12-23
Code Review for Programming Assignment,Assignments,In Progress,2023-12-23
Plan Study Schedule for Final Exams,Academics,Needs Review,2023-12-23
Prepare Presentation Slides,Miscellaneous,Needs Review,2023-12-23
Review and Grade Homework Submissions,Assignments,Needs Review,2023-12-23
Plan for Next Week's Project Meeting,Assignments,Planning,2023-12-23
Plan Research Experiment Protocols,Assignments,Planning,2023-12-23
Review UI/UX Designs,Academics,Planning,2023-12-23
